Date,AAL,ADP,ALLE,AME,AOS,AXON,BA,BLDR,CARR,CAT,CHRW,CMI,CPRT,CSX,CTAS,DAL,DE,DOV,EFX,EMR,ETN,EXPD,FAST,FDX,GD,GE,GNRC,GPN,GWW,HII,HON,HUBB,HWM,IEX,IR,ITW,J,JBHT,JCI,LHX,LMT,LUV,MAS,MMM,NDSN,NOC,NSC,ODFL,OTIS,PAYX,PCAR,PH,PNR,POOL,PWR,ROK,RSG,RTX,SNA,SWK,TDG,TT,TXT,UAL,UNP,UPS,URI,VLTO,VRSK,WAB,WM,XYL
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-01,,6.686281895640938,,-6.124359907554862,0.0,,7.516232822991411,,,9.05791208923475,,-2.8760152175262688,,5.465908008709291,4.651993667809305,,7.152452041112946,4.460426415767083,9.925495809534128,1.2987195526811113,-3.6018474823393105,0.4795880229209889,17.36603732836219,10.536051565782635,-8.6731695824333,-0.806460673917983,,,13.353139262452258,,3.255259172996801,0.0,,7.653980915814312,,14.250006260728302,14.51820098444979,22.91857738497522,8.17894378046677,3.956562018489497,-7.951204490071234,8.191651070144475,3.580951814081406,2.5277813015001653,-6.551460711062656,-11.69213421219011,2.6937707117523257,,,-5.5569183492566925,11.122555539132833,5.310996455338805,-2.429273223652142,,,-6.164416311120672,,2.4753650898972,0.7633682873278815,2.1202207650602904,,11.095700303400816,7.28613482648717,,2.161350301784424,,,,,,8.701137698962969,
1990-03-01,,6.033182462739466,,8.085206241961696,27.193323864659725,,11.62597995610869,,,0.8213598537388799,,-1.0666767804195192,,-3.978884216458203,-1.7192334577483137,,3.136145603787763,2.975433099825021,5.3652713492320006,2.861880530565266,9.553254558137231,-6.421930070001071,16.034278112232098,10.885440491208207,0.668898815079671,3.968775248045001,,,3.800111817861384,,5.2004875814765,0.0,,5.129336045459056,,5.077232537342314,8.419209122034802,6.979576813242449,-0.5249273896548527,14.051125753285646,-0.6920419616575193,6.524091051914469,3.457132076783566,1.5480188786562987,5.077232537342314,-8.912776991067147,5.179145971408861,,,-5.884132532473778,4.851170002866439,1.709436751898781,-2.489759328924656,,,2.8491955794306243,,11.315425484330316,1.134227594959386,0.3490404939768567,,0.6826043092213929,-2.185879381249907,,-4.714680107753993,,,,,,40.54651081081644,
1990-04-01,,-5.784745866137198,,0.0,1.574849852916052,,-2.827048710476652,,,0.4081638319648456,,-0.2684565370668987,,-4.5289998322360105,-2.339299113082153,,2.8742495038534344,-1.9737503776638772,7.197349962508924,-3.5091319811270063,-2.0202854061299864,-4.167269640056808,7.146041905615038,-1.810004164361799,-7.616136096556403,-0.3898625897489967,,,-4.684290876007469,,-5.2004875814765,0.0,,9.530994279457367,,0.2472189145389073,-5.096644359202752,-10.03790048090015,-4.576853300112981,-7.7860306099279075,-8.701144764822862,0.5249352892771826,-4.467246016227206,-2.488464896663279,-6.387867287872378,4.149960756484575,-5.179145971408859,,,-1.5266519249106203,-13.392957526777542,-4.329686465169077,0.8368311125216412,,,10.14201784459033,,-4.009445816441133,-1.515192062412385,-9.496180843692771,,-4.641196874915565,5.899834076195576,,-6.407882964161971,,,,,,-18.232155679395454,
1990-05-01,,13.446164364432342,,7.480164775397684,4.580987130731735,,16.636452581227548,,,8.769003327628141,,8.004270767353635,,3.788309393518136,8.503710948237178,,-1.3423046107122578,7.363312803729261,11.159106540846238,7.804270700686941,10.739935483962483,6.187540371808745,5.587975684118261,-16.871590473817598,2.135312447056906,7.341019738580434,,,4.853638926640771,,3.839922968461195,0.0,,8.701158181287479,,8.061234596863219,26.286690333205694,10.037900480900158,16.003658707317655,12.540128802516753,6.949783677556532,7.560322665719234,1.5113702596386862,4.012885000255392,-10.859058747221928,15.06603401794472,9.198236436482478,,,-3.12538446704063,5.574195299779106,11.285449530957868,-0.8368311125216493,,,10.58680010785122,,6.382788221110397,10.84093044907113,4.860769906537679,,10.583533606538968,2.0619287202735608,,4.493109944137188,,,,,,0.0,
1990-06-01,,-4.208821398599324,,-5.557035487159602,-0.7491284805399466,,6.320991583222475,,,-24.15013273884206,,3.893435797545469,,1.108994742965321,6.317884259865236,,-1.0186845570900682,-3.77403739193949,-3.15483577349259,-1.512888159630009,2.414607505880109,2.9559394815701285,0.0,-2.185879381249907,-10.379679368164355,0.5429857317611065,,,0.1690617477907452,,0.6825962087431867,0.0,,4.879005688107074,,-1.8391322971423545,-5.6862861894543215,-5.781948516528847,6.585807570632434,-1.801850130779923,-5.445982301532626,0.0,-2.020279414002877,4.727606420090251,-1.1834457647002796,3.4367657069934943,3.8637814948546567,,,1.574901771686344,1.1976184814387962,-6.9557630657888,-6.959328599397543,,,0.0,,-2.373342404669254,-3.1306906286899783,0.7272759329079879,,-2.159911973057552,-3.109058707003112,,-1.4159559599499123,,,,,,72.59370033829363,
1990-07-01,,-4.630461466632755,,-14.310072102537982,9.325769504593644,,-1.290340483590784,,,-7.3925273697015665,,-5.141891463770007,,1.0969369415071677,-7.410787109718154,,-0.684931580668526,-4.927092004054402,-4.5909701304077855,-0.9188426054406256,-4.057366903010375,-3.457162992996479,-4.445176257083381,-8.350172184532719,-17.9201429457711,3.3721039836937305,,,-8.4557388028063,,-8.51578881844195,0.0,,0.0,,-3.782956987304949,-1.608613775162438,-6.136884980168245,3.879793276443967,-11.551292427648798,-19.735947634272986,8.376950734471643,-4.700597273220592,4.237923608126323,0.0,-25.22801979914776,1.7341474654083908,,,-8.134554236060648,-3.021349615355798,-9.785575839337572,-12.45624829691466,,,-2.7779564107075707,,3.4337990601646182,-0.7092120089768849,2.1506205220963683,,-8.899827227627204,-4.301738508369081,,6.554079456444873,,,,,,43.72138064227447,
1990-08-01,,-4.6068814992002665,,-9.201877684361994,-19.611532571624625,,-17.972752161690796,,,-12.806590261196735,,-25.63522223108632,,-13.613242401391965,-10.414025350141202,,-24.8373283299758,-13.69041229704687,-12.114438335908822,-17.06970759416673,-16.63014523883945,-42.576974197622775,-7.061598551145995,-5.874950407219052,-7.267119029735904,-14.43098265558148,,,-7.439081758058276,,-8.499311674533555,0.0,,-31.449323660820983,,-9.86893768408038,-20.30759882634005,-17.97932070152056,-11.172316886136672,-24.376285122018835,-7.061768302511999,-11.583205885241044,-19.415602770642845,-13.7689331616556,-16.11193491433517,15.290777186674609,-8.988081736171463,,,-15.55637169439482,-27.346896770433062,-13.486739301974008,-13.06201864607877,,,-10.901873766279529,,-19.24998530251725,-13.7096450809988,-18.232155679395454,,-19.143200065458107,-12.26023220923324,,-4.612264647500177,,,,,,-26.02830982636664,
1990-09-01,,-1.500011361896823,,-18.47338918823144,-6.899216644913288,,-14.769487948438709,,,-1.7595761890379602,,-4.652001563489281,,-11.46619296899656,-2.46927303458893,,-18.320296881209217,-4.33993821590896,2.985296314968113,-6.0168521466452844,-14.441808695775812,-3.125245314384302,-0.6119025679306832,-7.951206292773364,-5.155780966485001,-12.89336127056315,,,-10.646123123401182,,-10.625699583124424,0.0,,-4.445151449304316,,-4.905615698919419,-3.367321510658784,-4.652001563489281,-5.841085073660232,-27.388875838536958,1.932444813954223,-18.98683421677231,-11.697170127670988,-2.085080036287742,3.436764350420782,-7.755832988764277,-8.501854372326381,,,14.705350792945602,-1.626063193312597,-2.710196533672291,9.952964331836302,,,2.0726130517116954,,-13.389677378555753,-9.408656979044336,3.758271114904285,,-6.5695343615845285,1.8462062839735351,,-7.249549249274144,,,,,,2.666824708216127,
1990-10-01,,1.5000113618968365,,4.2559179045729385,5.218488810936031,,7.239049642025646,,,-3.6148514116311095,,-9.259278682782492,,0.0,-1.2578734674040428,,-16.657315214210083,-3.696519269730528,-6.846779927746072,4.175179468022176,-7.020435260617088,-1.600137070866551,-40.23993517586413,-9.39318198342035,1.0526412986987603,-4.695698561559189,,,-2.905232259450199,,-10.386697552219315,0.0,,5.526221617099635,,-6.939199342399993,2.7028672387919417,-1.600046440119926,-26.211359607253005,-19.61148540371525,1.8957848934953567,19.735944300213998,-15.780698561377951,2.402037585751036,5.903353158419293,-4.115809080582308,-1.374586846645692,,,-2.59756018495094,-7.663313356581877,-13.510249909346008,-5.406723621786378,,,2.0305266160745523,,5.406712798688663,-0.9008932473008516,-9.90055237754491,,-32.11580753875195,8.751937801655666,,-6.003745228344221,,,,,,16.90763300439339,
