Date,AMT,ARE,AVB,BXP,CBRE,CCI,CPT,CSGP,DLR,DOC,EQIX,EQR,ESS,EXR,FRT,HST,INVH,IRM,KIM,MAA,O,PLD,PSA,REG,SBAC,SPG,UDR,VICI,VTR,WELL,WY
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-01,,,,,,,,,,-0.0174677799471343,,,,,-0.0490896101965236,0.0662494336738628,,,,,,,-0.3112125698619751,,,,-0.037179003241754,,,-0.0173917427118692,0.0
1990-03-01,,,,,,,,,,0.0303711048154028,,,,,0.0609945127028419,-0.0846831167860175,,,,,,,-0.0322608622182214,,,,-0.0307716586667536,,,-0.0176995770994009,0.0597192347016222
1990-04-01,,,,,,,,,,-0.004282683302411,,,,,-0.0547248996892466,-0.1776811252537017,,,,,,,0.0787808778531143,,,,-0.023716526617316,,,-0.0363676441708748,-0.0546041340348518
1990-05-01,,,,,,,,,,0.0502197983617942,,,,,0.0124225199985571,0.0851578103237153,,,,,,,-0.0152674721307884,,,,0.0158733491562901,,,-0.0571584138399486,0.1109570705859835
1990-06-01,,,,,,,,,,0.0161947661136008,,,,,0.0061538655743782,-0.0741079858850106,,,,,,,0.0152674721307883,,,,0.0233473639969911,,,0.0097561749453646,-0.0709517359722844
1990-07-01,,,,,,,,,,0.0355066000465725,,,,,-0.0123458358222993,-0.1102565240100176,,,,,,,-0.0307716586667536,,,,-0.0472528848505455,,,-0.0097561749453646,-0.0554298049393308
1990-08-01,,,,,,,,,,-0.0314986930347989,,,,,-0.1255773073832022,-0.1239368274461446,,,,,,,-0.1515498981272009,,,,-0.1017826943099423,,,-0.0606246218164348,-0.1628237610806871
1990-09-01,,,,,,,,,,-0.0040079070117737,,,,,-0.1936531228035046,-0.5630940789789145,,,,,,,-0.0183491386681965,,,,-0.0363676441708748,,,0.0,-0.0246926125903715
1990-10-01,,,,,,,,,,0.0198813353215312,,,,,-0.1177830356563835,-0.0372714650095227,,,,,,,-0.0186921330121525,,,,-0.0281708769666963,,,0.0103627870355466,-0.0984400728132525
1990-11-01,,,,,,,,,,0.0610876128263707,,,,,0.1758906664636642,0.1303617932589353,,,,,,,0.0,,,,0.1082135846402327,,,0.020408871631207,0.0731222648289625
1990-12-01,,,,,,,,,,-0.0186921014005468,,,,,-0.0753494372417868,-0.0689928020676546,,,,,,,0.0,,,,0.0169495583137732,,,0.0777089843273163,0.114929966673977
1991-01-01,,,,,,,,,,0.0621772489874155,,,,,0.1823215567939546,-0.0240975261817579,,,,,,,0.0727593542824283,,,,0.0729067708080877,,,0.0456700368331882,0.0501497836854715
1991-02-01,,,,,,,,,,-0.0142859085211861,,,,,-0.0520563619560531,0.4684780775654278,,,,,,,0.067822596338761,,,,-0.0317486983145803,,,0.093685484077323,0.0054200674693391
1991-03-01,,,,,,,,,,0.0861117125043407,,,,,0.1015364192194228,0.044783619684926,,,,,,,0.0480092191863606,,,,0.0996993602230879,,,0.0240975515790605,0.0423343638265607
1991-04-01,,,,,,,,,,0.0065790033681129,,,,,0.047146778425702,0.0567527567097909,,,,,,,0.0307716586667536,,,,0.0428637044317823,,,0.0981920261792138,0.0986019768045395
1991-05-01,,,,,,,,,,0.0290810826431763,,,,,0.0387145121806904,0.2162231520362273,,,,,,,0.0150378773645405,,,,0.0,,,-0.0441248049089379,0.1317692776311233
1991-06-01,,,,,,,,,,-0.0128206450548475,,,,,-0.0453151962120424,-0.2371298151902477,,,,,,,0.0,,,,0.0069686693160934,,,0.0,-0.1270854283186969
1991-07-01,,,,,,,,,,0.0191699044776443,,,,,0.0578939784189026,0.0070175653358783,,,,,,,-0.0150378773645405,,,,-0.0069686693160933,,,0.0223057575142981,0.0456700368331882
1991-08-01,,,,,,,,,,0.0,,,,,-0.0382212128201977,-0.0283707301328047,,,,,,,0.0150378773645405,,,,-0.0070175726586465,,,0.0361050046421163,-0.0134833503372869
1991-09-01,,,,,,,,,,0.0553988473308952,,,,,0.0129034048359077,-0.0441248252537075,,,,,,,0.0,,,,0.0746108637911746,,,-0.0434851119397387,0.0045146803545266
1991-10-01,,,,,,,,,,-0.0303976289093254,,,,,-0.0259754864032606,-0.0075471981620134,,,,,,,0.0438026226583928,,,,-0.0198026272961797,,,-0.0149256502166757,-0.0045146803545265
1991-11-01,,,,,,,,,,0.0122701543919814,,,,,-0.0822380982369721,-0.0706174944853126,,,,,,,-0.0289875368732522,,,,-0.0202027073175194,,,0.0223057575142981,-0.1617207386878036
1991-12-01,,,,,,,,,,0.173133153267018,,,,,0.0756374142056199,0.0781646926473262,,,,,,,-0.0298529631496811,,,,0.1155128871218442,,,0.2053389266807031,0.1571855835224123
1992-01-01,,,,,,,,,,-0.0286104576438838,,,,,0.0947079515416189,0.0584108302541783,,,0.0942524606215386,,,,0.1670540846631662,,,,0.0180185055026782,,,-0.0060060240602119,0.0953101798043249
1992-02-01,,,,,,,,,,-0.0910974622211246,,,,,0.0119761910467156,0.0348466952143299,,,0.0157482973634926,,,,-0.0259754864032606,,,,-0.0180185055026783,,,0.0179109265665302,0.0983109322435631
1992-03-01,,,,,,,,,,-0.0352977588846656,,,,,0.0176995770994008,-0.1237942187399155,,,-0.0157482973634925,,,,-0.0132452267500206,,,,-0.0183491386681965,,,-0.0547248996892466,0.0331522073169005
1992-04-01,,,,,,,,,,0.029500612484731,,,,,-0.0058651194523981,-0.0235304731941608,,,0.0312526021917529,,,,-0.0408219945202551,,,,0.0061538655743782,,,-0.01257878220686,0.0250460319260875
