Date,ACGL,AFL,AIG,AIZ,AJG,ALL,AMP,AON,AXP,BAC,BEN,BK,BLK,BRK-B,BRO,BX,C,CB,CBOE,CFG,CINF,CME,COF,DFS,EG,FDS,FITB,GL,GS,HBAN,HIG,ICE,IVZ,JPM,KEY,KKR,L,MA,MCO,MET,MKTX,MMC,MS,MSCI,MTB,NDAQ,NTRS,PFG,PGR,PNC,PRU,PYPL,RF,RJF,SCHW,SPGI,STT,SYF,TFC,TROW,TRV,USB,V,WFC,WRB,WTW
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-01,,-0.0566950658343829,0.0408219322237874,,0.0333364202675917,,,0.0067114090716167,-0.0212321236598186,0.0578195708888262,-0.0368701569156161,0.0614527865985419,,,0.0416710161863199,,0.0283037520244092,,,,0.0230652557129547,,,,,,-0.0237167420657605,-0.0228725748496082,,-0.0068258199300966,,,,-0.0048661153987184,-0.0097087969035149,,-0.0391741470439231,,,,,0.021190736728627,,,-0.011741862581536,,0.0280578924837363,,0.0282706864791575,0.0189879122446913,,,0.0307716120610877,0.1386826834509084,0.1218905761030393,-0.0661586702510762,0.0142351158218719,,0.0755075525081451,0.0837698830654587,0.1182996980290235,0.0,,-0.0621317811070061,0.0548087055334452,
1990-03-01,,-0.0168074658418281,-0.0408219322237873,,0.0162605208717803,,,0.0033388886349112,-0.1231623159512236,-0.1383584333728385,0.2032280267007694,-0.0972988761940754,,,0.0594234808240593,,0.0229895687517768,,,,-0.003262652964478,,,,,,0.0843412174454179,-0.0719351299641301,,-0.0207620607379978,,,,-0.0919013587014791,-0.0655145941473433,,0.0391741470439231,,,,,-0.0823303197170002,,,0.0310102808808795,,-0.0280578924837363,,-0.0282706864791575,-0.0062893289075639,,,-0.0544882675455284,0.0694723285599417,0.1086344433358582,-0.0023612761856798,0.0616633671056381,,0.0357180826020792,0.064817755453661,-0.0208775850215552,0.0130722561034418,,0.0127390257774297,0.0066444536928566,
1990-04-01,,-0.061154062740393,-0.0453686576007095,,-0.0782521968997482,,,-0.0725706854515501,0.0520211857451477,-0.0195445960729702,-0.1221024986348277,-0.1077965277426901,,,-0.08004194542155,,0.0444516971729094,,,,-0.0710959410634963,,,,,,-0.0763729365228755,-0.0365722941072088,,-0.050189814564636,,,,0.0,0.0800426358499376,,0.0127242541375083,,,,,-0.0576735837146483,,,-0.0095878008746156,,-0.0081633731751835,,0.0352146554977891,-0.127689992055915,,,-0.0325231451230815,-0.0135128794492994,-0.1168635031068961,-0.0118907465215216,-0.0581360265876697,,-0.1112256351102243,-0.1983491480781836,-0.0453151962120424,0.0382210665178897,,-0.0927817334509662,0.0886656150131397,
1990-05-01,,0.0862599688429782,0.132827892922489,,0.039891329027302,,,0.1181812743339066,0.0754236710781338,0.0195445960729701,0.1852034657194569,0.1917618500340495,,,-0.0870104761471222,,0.1264411529116891,,,,0.1282543511152191,,,,,,0.0,0.0877274686097769,,0.0501898145646359,,,,0.1579630721630137,0.0095695659339061,,0.0316768906375096,,,,,0.1623333311512964,,,0.0114943500253713,,0.0401661643353283,,0.1326659397088042,0.0177624563398404,,,0.079406903760921,0.1094335784611841,0.0404900831102715,0.0467374778516898,0.1099275357160745,,0.0384662808277961,0.1424203400417687,0.0282935086426117,0.0246927303458892,,0.2175725062647543,0.0357185796208219,
1990-06-01,,0.048396625573626,-0.0518118996215255,,0.0275499517682306,,,-0.0456105888823564,0.0500105518336067,-0.0327898228229908,-0.0255028209787573,-0.1558297829795887,,,0.03352263040952,,0.0449513491605629,,,,0.0061538794025646,,,,,,0.0079051749814511,0.0026211559891671,,-0.0355910162687312,,,,-0.0709517359722844,0.0465199320583447,,-0.023663075116262,,,,,-0.0320539773711448,,,-0.0507921362613699,,-0.0483965378829757,,0.0645385926631621,-0.1683353148192147,,,0.0664449977172287,-0.0372715815618009,-0.0322610233392336,0.0270286723879194,0.0249234084524569,,-0.163629423781802,-0.0360399364831969,-0.0129591446425052,0.0706173031561061,,-0.0283305066262259,-0.0479136891342833,
1990-07-01,,0.0461620112744832,-0.0209706687286504,,-0.0054496047675647,,,-0.0236097754143834,-0.0542930927056646,-0.0443002588965799,-0.0414366436467378,-0.2231438053461232,,,0.0109273404881341,,-0.0565121969517562,,,,0.0595414025702878,,,,,,-0.0079051749814511,0.0609326449655157,,-0.0957450661111189,,,,-0.1031841947711309,-0.12062786885276,,-0.0502736248111301,,,,,-0.0247333294093697,,,-0.0684205249487909,,-0.0508584139437774,,0.137784087674092,-0.1240526486699788,,,0.0,0.0,-0.1126722230857329,-0.0179377006866673,-0.0472528848505455,,0.0434851119397388,-0.0469569830877709,0.0590889163700065,-0.1732712705047663,,-0.0901510969942974,0.0,
1990-08-01,,-0.1541503840447631,-0.1120049901666771,,-0.1218898176090368,,,-0.0453831022033318,-0.1883482343509316,-0.0949618084369277,-0.2040958060514524,-0.0816777277374041,,,-0.044449970897654,,-0.1457878303968138,,,,-0.0382962468659727,,,,,,-0.1177829638115001,-0.1091993407509067,,-0.1014693318133156,,,,-0.0616442486758539,-0.1255051919397652,,-0.1008409938765499,,,,,-0.0637598008463998,,,-0.0757599954767171,,-0.1447746272185968,,-0.0200008461107327,-0.0887281156086843,,,-0.0588404888095398,-0.1067682063771893,-0.0762276929831526,-0.1200480422872356,-0.1874962125839722,,-0.0889474860164961,-0.2017396426510562,-0.085522173438162,0.0134226228819439,,-0.1130771446189707,-0.1959102846176798,
1990-09-01,,-0.063369218132021,-0.072969086547802,,0.0243914531241592,,,-0.129458069479849,-0.1327915716389809,-0.4228568508200336,0.0140522615100123,-0.2876822766381737,,,-0.0229913876431385,,-0.3073053597217422,,,,-0.1434474530086237,,,,,,-0.1033783557342389,-0.104140311013265,,-0.1920778709880015,,,,-0.3330099232648213,-0.0723207016672166,,-0.0800427481477771,,,,,-0.1269440601741302,,,-0.0819736197896411,,-0.1693407686438985,,-0.0815169099281172,-0.086074608771243,,,-0.103678440688235,-0.1275130683091061,-0.1042616201905854,-0.1076306641923654,-0.119730455940779,,-0.2058520542041487,-0.0359320092260633,-0.1133286853070031,-0.158604736027715,,-0.1767035644897313,-0.0536532623088208,
1990-10-01,,0.1062945839390443,0.0019901068509686,,-0.0060423144559625,,,0.0240975640399623,-0.1126188490802202,-0.2144098713454552,-0.1027803929792626,-0.2213720558549329,,,-0.2058499084371926,,-0.1231326622109196,,,,-0.0370740569393381,,,,,,0.1033783557342388,0.0270693741487056,,0.0791374101693765,,,,-0.4258324724599715,-0.1479201550587447,,-0.1221026472593782,,,,,0.0683192727676449,,,-0.0515578106791004,,0.143894258313618,,-0.0798143143761208,-0.3142490998365027,,,0.0491901731427065,-0.0491906032158717,0.1042616201905854,0.0659579677917973,-0.2144098713454552,,0.0281708769666962,-0.2323319773686159,0.0271286673882526,0.0,,0.0166670524852116,0.0117423073421444,
