Date,AEE,AEP,AES,ATO,AWK,CEG,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EVRG,EXC,FE,GEV,LNT,NEE,NI,NRG,PCG,PEG,PNW,PPL,SO,SRE,VST,WEC,XEL
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-01,,-0.012220111334775331,,-0.007117440521026941,,,-0.01869213301215252,-0.022388988592364795,-0.002797225932218754,0.024938984478397055,0.018433715816781195,-0.03263692931302255,0.009884759232541925,-0.041061486797773925,-0.04130380614123575,-0.02754995176823063,-0.06609009019822983,,,0.02785695450296628,-0.03364803411823276,0.020906709809377044,,0.03944173205129662,0.013667638728663835,0.10880285984879917,0.012158158466690813,-0.032944261950321505,,,-0.02564243061333767,-0.020339684237122672
1990-03-01,,-0.004106781952653359,,0.028170849718859334,,,-0.022901764286684455,0.00751885287966752,0.0,-0.009901103059339002,0.004555780202035086,-0.014320053774748558,-0.02321829010200722,-0.006006024060211922,0.0,0.02754995176823065,-0.11159105249009195,,,0.0054794657646255705,-0.023077947282544725,-0.013889173964830727,,-0.03371105734231172,-0.041576426845740325,0.1526768402089578,0.012012209340498651,0.00477334533671191,,,-0.013072081567352775,-0.0034305350967892482
1990-04-01,,-0.042022989774847926,,-0.06453852113757118,,,-0.09724254755537882,-0.03428909791543945,-0.06659476596044049,-0.02010115441770418,-0.03940255915270706,-0.09051400754083186,-0.03761127074578335,-0.04308358613631168,-0.08154986696410774,-0.06744128079553253,-0.16579227919704906,,,-0.010989121575595206,-0.07680541122374505,-0.0724956199540025,,-0.028987536873252298,-0.07338254593402399,-0.15267684020895775,-0.04580956201122289,-0.07410795385514626,,,-0.04944824025548194,-0.08233628666063589
1990-05-01,,-0.0043010818993905854,,0.014706175234200414,,,-0.00426439878645754,-0.011696000970339616,0.041061463955275636,0.07808842714400684,0.0416726896439172,-0.015915455305899568,0.06082956084779045,-0.019048194970694474,0.04473589384139152,0.017291497110061043,0.07878087519628105,,,-0.02234729869199666,0.061118815056045536,0.00749070604795087,,0.07368771579115913,0.0827722862838629,0.27731928541623435,0.05767909255817126,0.025317780765158518,,,0.040637644331709175,0.06849523524876436
1990-06-01,,0.025533302005164845,,-0.029631854132810827,,,0.08594242980072463,0.05344784024868649,0.019915331192193405,-0.018957889982556108,0.013513769252097121,0.005333345975362603,-0.016529301951210582,-0.0064308903302904025,-0.006269613013595374,0.016997576368571077,0.0075471812644303535,,,0.011236073266925752,-0.032131278182793294,0.050920179320768956,,0.016260520871780326,-0.03325722175648235,0.02316705928153438,0.008810692421645882,0.00995040689869481,,,0.02620237152096255,0.006944472352810995
1990-07-01,,0.004192878260035958,,0.03690458561738553,,,-0.011834457647002796,0.0037105223260038805,0.016760168500269873,0.09574499989267157,0.03732589127276117,0.06187540371808745,0.009950330853168092,0.019169916107720123,-0.019048194970694474,0.043963123421116204,-0.0075471812644304056,,,-0.02259983191724092,0.0,0.027973908550113634,,-0.021739986636405875,-0.014598799421152636,0.10153641921942282,-0.017699606183030264,0.014742179800307204,,,0.017094368146036213,-0.010434877292579619
1990-08-01,,-0.11987727725949823,,0.0425596144187959,,,-0.07410797215372185,-0.06108772259615955,-0.0747474704161832,-0.05818194496511907,-0.04405994832758466,-0.13926206733350766,-0.06828590786613153,-0.07216244624823054,-0.059423420470800764,-0.09584795879012781,-0.08701134752293352,,,-0.028987536873252298,-0.11676314775563797,-0.10153659503891108,,-0.08601287466004029,-0.07109592168373022,-0.11692133805890229,-0.04567006326267741,-0.08656801566036462,,,-0.056659967025017265,-0.17952825888834198
1990-09-01,,0.0,,-0.06453852113757118,,,-0.025975486403260677,-0.03607601080787522,0.017751945859171385,-0.013921342379471444,0.002249701836764849,-0.03509131981127006,0.01751358249270821,0.0,0.04652001563489291,-0.011904902506318314,-0.03361668182128,,,-0.02381064869371856,0.013667638728663835,0.0,,0.017804624633506686,-0.02127739844728485,-0.5031035776720805,-0.003120115534109472,0.01058219044465953,,,0.0,0.00833338155914424
1990-10-01,,0.05505977718302739,,-0.02247285585205863,,,-0.08223809823697212,0.15473361241623074,0.10036271230096423,0.08506243566725737,0.1363364605216851,0.10714463745132774,0.07683243204328825,0.07216244624823058,0.0750351859429141,-0.02424361160999274,0.12817521060864398,,,0.1029479692524424,0.013483350337286988,0.06644518675203634,,0.12169693497751977,0.12611145976286534,0.14310084364067324,0.039821444682077774,0.09531006626997879,,,0.08588963766789894,0.07972347383203834
1990-11-01,,0.008888947417245994,,0.015037905832429893,,,0.023530497410194036,0.006968625365578677,-0.005319141240479104,0.012793355046507793,-0.031875234100325486,-0.016172859245600957,-0.00969312920565968,0.006309169193264756,0.06416194421728585,0.018237587549780793,0.0074906477219501885,,,0.05292240145434253,-0.008968669982760375,0.07563729250612265,,0.03580945269671078,0.004728141195945896,-0.011173300598125189,0.04406001693726464,0.02830387593967072,,,0.032391465395240945,0.015209418663528708
1990-12-01,,-0.00888894741724604,,-0.0074907288789816135,,,0.03653374333245607,0.02061928207218557,0.0,-0.0432967916348818,-0.008130132736636597,0.02681125745065677,-0.01636697746420536,0.006269613013595395,0.011236073266925752,0.017910926566530243,0.07197357501438736,,,0.010256500167189061,0.044059989794030495,0.0,,0.0050125418235441935,-0.004728141195946012,-0.10660973505825826,0.0057307468033509544,0.03653368133789678,,,0.007936610147439837,0.026072240309775105
