Date,ADM,BF-B,BG,CAG,CHD,CL,CLX,COST,CPB,DG,DLTR,EL,GIS,HRL,HSY,K,KDP,KHC,KMB,KO,KR,KVUE,LW,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TGT,TSN,WMT
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-01,0.0487901549944567,0.0066557413373391,,0.0839999255543461,0.0163935575643187,0.0427510266419697,-0.0097245498919947,-0.0289875368732522,-0.0052631700442746,,,,-0.064052052954014,0.0,-0.0945261734921162,-0.0577274561595691,,,-0.0466104041378612,0.023319331573542,0.0492710490067828,,,,0.0359320092260633,0.1823556346110347,-0.0233733769602905,0.0172418396057871,-0.0019550348358033,,,,-0.0628009012390303,-0.0067796869853788,0.0309622256039668,0.1200479688396061,0.0317483459305229
1990-03-01,0.080042735904229,-0.1347167785061029,,0.06424229939418,0.0630127348700953,0.0473206561900719,0.0352036351929797,0.0129871955268111,0.0810570094138083,,,,0.1362029606396142,0.0242926925690444,0.0905968953522266,0.0020470785823959,,,0.0274527709934346,0.0585365024525728,-0.0292703823001132,,,,0.0346855579878901,0.6359712268121246,0.0685423212607111,0.068137805167218,0.0588964112359418,,,,0.0927817334509662,-0.0136988443581619,0.1132560372748006,0.0267873168761295,0.0712631934168359
1990-04-01,0.0324352553309507,-0.0768849649700673,,-0.0089286914133832,0.0592770624390766,-0.0539503793958101,-0.0417396061727652,-0.1234441910911216,-0.0122400548945019,,,,-0.0153980948106307,-0.0161293819298836,0.0156253179030808,0.0040816283025709,,,0.0,0.0198682032167251,-0.0404095383378766,,,,-0.0645385211375711,-0.0606203934176439,0.0582094101534144,0.0562709342514702,0.0415597297067947,,,,0.0250013022054171,0.2436220826577505,-0.0183154185110573,0.038881788825932,0.0490419313266431
1990-05-01,0.120144338656121,0.2099421124965954,,0.1142890894259431,0.0559584340971469,0.1365755177292073,0.1086338410027953,0.1137196411991269,0.0597549305020151,,,,0.1062221639050391,0.1294580672368867,0.0818300182476321,0.0612234391647487,,,0.090551185855724,0.1685661817254692,0.1788792126029817,,,,0.1198011998126205,0.0,0.0029717930283101,0.108938982069763,0.1569281087052453,,,,0.1237096543260228,0.1026541540600833,0.111809072332511,0.1382870763347812,0.1275310772234975
1990-06-01,-0.033576357009738,-0.0424154720758774,,0.1239860807979522,0.0465202138009649,0.0564059214387963,-0.0088626872578453,0.0782872213292914,0.0607610940104371,,,,0.1086110651295562,0.048790164169432,0.072320661579626,0.0057307227403452,,,0.0122915568558294,-0.016760168857465,0.1062222132553074,,,,0.0825210236880034,-0.0317463795228341,0.0988109012816322,0.0495150645273805,0.0530315709088376,,,,-0.003642991278501,0.0288481543376583,-0.0387579598571244,-0.0927304815162341,0.1011387692668402
1990-07-01,-0.0197049912756417,-0.0245625548102298,,-0.0250460707104059,-0.0263175064834454,0.0234878697255813,0.0407032931135041,-0.0368139731227163,-0.0700851708855603,,,,0.0260824533797387,-0.0777777010426842,0.0262310121488696,0.0465200212628097,,,0.0707366177511175,0.0222850447894349,0.0,,,,0.0,-0.0327873494510546,0.029141114987409,-0.0080841431707207,-0.0043134502537193,,,,-0.0036563112031105,-0.0737434742455492,-0.0385337184979195,-0.0455565948185471,0.0059940246711765
1990-08-01,-0.0395790764625466,-0.0813754973121388,,-0.0406709621210854,-0.0134228141323097,-0.0664450994081527,-0.1570037488096648,-0.1848246870120731,-0.0553691352674744,,,,-0.0585940831791507,-0.1335313926245226,-0.0163135754915237,-0.0873421060642342,,,-0.0381157117802108,-0.071356938781832,-0.114880275998422,,,,-0.2330938821673777,-0.1431185378976462,-0.059156989793618,-0.0246520296165508,-0.1192249969732846,,,,-0.0642943507053972,0.0101523714640179,-0.2098394639728374,-0.0344861437432258,-0.0961071885933591
1990-09-01,0.0215062867008542,-0.1055745754766415,,0.0037664252162247,-0.0627383272823565,-0.0960738300896222,-0.1016636537765001,-0.1281751934239976,-0.1015175243786585,,,,-0.0653051478791379,-0.0084388686458645,-0.0506010132937894,-0.0019860286133317,,,-0.0808876035999616,-0.0673036818961066,-0.1102031401336142,,,,0.0547248996892464,-0.1670433608336865,0.0027662112831577,-0.0850468628691118,-0.0550597771830274,,,,-0.0197245053477785,-0.0255768417896497,-0.0730920235412074,-0.091807512573342,-0.044850706154252
1990-10-01,-0.0546584581604987,0.0880813329085965,,-0.0075472014471686,-0.1553509160203292,0.1168490067489841,-0.033774317118604,0.0661398025045449,0.081516857671989,,,,0.0197424915032692,0.0084388686458646,-0.0460258223952821,0.0856850338395405,,,0.0976384858326785,0.1275801749013668,-0.1349193178993707,,,,-0.030032287098875,-0.4520000605370107,0.0406009764607943,0.0425596144187959,0.0759440703499481,,,,0.0236231457634358,0.0154244703256317,-0.0995845532239534,0.0377402913030662,-0.0185187651728422
