Date,ABNB,AMCR,AMZN,APTV,AVY,AZO,BALL,BBWI,BBY,BKNG,BWA,CCL,CMG,CZR,DECK,DHI,DPZ,DRI,EBAY,ETSY,EXPE,F,GM,GPC,HAS,HD,HLT,IP,KMX,LEN,LKQ,LOW,LULU,LVS,MAR,MCD,MGM,MHK,NCLH,NKE,NVR,ORLY,PHM,PKG,RCL,RL,ROL,ROST,SBUX,SW,TJX,TPR,TSCO,TSLA,ULTA,WYNN,YUM
1990-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-01,,,,,-0.062242308877220896,,-0.028515415429100677,0.1182052903926607,0.11979956689110309,,,-0.04845238338594674,,,,,,,,,,0.06453844539420026,,-0.0032840626117018167,0.0,0.12369666784545738,,0.0,,,,-0.0421616628139662,,,,-0.03509131981127006,-0.0616935690053399,,,0.11668198464920694,-0.10536051565782628,,0.07637297878457396,,,,-0.05167183670333797,-0.03174935460679831,,,0.02531832965242803,,,,,,
1990-03-01,,,,,0.0045766670274118935,,0.03252319170555993,0.10569836626205603,0.29170569110470945,,,0.18703854667209346,,,,,,,,,,0.0268112273937619,,-0.006600658602253997,0.019672689194854896,0.14058181821148258,,0.002472199131251241,,,,0.2298203043200472,,,,0.007905179507113247,0.0,,,0.17716875974294746,-0.05715841383994864,,0.09798040836020382,,,,0.029854106808673665,0.17693191431741762,,,0.056695824268211195,,,,,,
1990-04-01,,,,,-0.07095173597228449,,0.019802866649705056,-0.04031559057138085,-0.2444523797629777,,,-0.07320340402329494,,,,,,,,,,-0.06842600112959925,,0.045315133614425344,-0.10247871739880461,0.021622557127468182,,-0.019950785403155317,,,,0.04824660146657486,,,,-0.04839654086185021,0.0,,,0.014652273510915165,-0.2682639865946794,,-0.05480823649499503,,,,0.08455640200863107,-0.29068940801879956,,,-0.20945798624646456,,,,,,
1990-05-01,,,,,-0.0658465657975865,,-0.035932248579588766,0.23821930118040152,0.2682650002504636,,,0.15776079205135804,,,,,,,,,,0.04432841987485245,,0.04637619691150762,0.20132449302274094,0.2598931028919773,,0.056318418047492255,,,,0.3144936528397203,,,,0.13507978003065216,0.07020425867324856,,,0.13262205505456548,-0.262364264467491,,-0.014184634991956413,,,,0.039740607467723434,0.04706747704820182,,,0.13595614281132762,,,,,,
1990-06-01,,,,,-0.026526754333428597,,0.012121605653424298,-0.03812412609129259,0.11122482994996684,,,0.04750233398500326,,,,,,,,,,-0.05286343112294452,,-0.04006694367099859,-0.14536587087913452,-0.048583950212074074,,-0.031441494483769185,,,,0.028684668158848407,,,,0.024956731973867458,-0.017094433359300068,,,-0.022545428268373538,-0.35667494393873245,,0.028170876966696224,,,,0.04445159350816294,0.044951357024770155,,,-0.10724540592165997,,,,,,
1990-07-01,,,,,0.026526754333428604,,0.08096881741258753,-0.17509380759830695,-0.02127682211431227,,,-0.14986434664657297,,,,,,,,,,-0.05279812403884402,,-0.07847176526788034,-0.06317884259865245,-0.11697176323796839,,0.1026541109780338,,,,-0.48711537940701777,,,,-0.1235212990294221,0.033901551675681416,,,0.11379371097463709,-0.3364722366212129,,-0.028170876966696335,,,,-0.11159080817252777,-0.11641177608092049,,,0.12405142508858553,,,,,,
1990-08-01,,,,,-0.20884831112738322,,-0.12195815168967378,-0.16761547690799938,-0.3582130080861182,,,-0.16923392203858684,,,,,,,,,,-0.17392310968361654,,-0.024097520248792265,-0.17366354552351757,-0.011009338911258548,,-0.16866793794183463,,,,-0.21377393464819838,,,,-0.11828116767166515,-0.25489224962879004,,,-0.2722966876951867,-0.2876820724517809,,-0.13762137787604772,,,,-0.04983217056323851,-0.1897548707886748,,,-0.07796099160359048,,,,,,
1990-09-01,,,,,-0.19139485299962947,,-0.10118539962453593,-0.21950057660480937,-0.2623665868499765,,,-0.34358970439007686,,,,,,,,,,-0.12182344944037168,,-0.010507937793732009,-0.17887907072147113,-0.10905726844725047,,-0.09059690200666633,,,,-0.2000940670369198,,,,-0.06963369175880076,-0.11375888535665803,,,-0.04688356353483432,-0.6286086594223742,,-0.085522173438162,,,,0.05675214049498202,-0.5158140762490961,,,-0.11441028452732584,,,,,,
1990-10-01,,,,,0.07522342123758753,,-0.01869213301215252,0.009049967659348856,-0.19844788806921027,,,0.009950330853168092,,,,,,,,,,-0.10671109429124444,,-0.007067140216133481,0.06967984278799452,-0.03347590890544703,,0.06669137146959064,,,,-0.025642410545901065,,,,-0.029270382300113224,0.06979576193554192,,,-0.1278338597910157,0.0,,0.0,,,,-0.04947987953932244,-0.10536051565782628,,,-0.2513158374621269,,,,,,
1990-11-01,,,,,0.10969891725642453,,0.03248573384379315,0.13465690149646672,0.17824790938128682,,,0.04831857727080773,,,,,,,,,,-0.013605541118802548,,0.05182504757364339,0.16779349145705313,0.1964062430394948,,0.05745703183770361,,,,0.06899170891279247,,,,0.10783270480321547,0.10648348040245013,,,0.21584402526057225,-0.4700036292457356,,0.03509131981127019,,,,0.09002626250014034,0.20067069546215124,,,0.15600648224807967,,,,,,
1990-12-01,,,,,0.11054187439982383,,-0.018433696503735417,0.1256261264698112,-0.08516005774767843,,,0.06394872460027351,,,,,,,,,,-0.0277797254435271,,0.023295587700214355,0.016129422961136286,0.07734943461032963,,0.08277230372418354,,,,0.1721695552400429,,,,0.03493805136128044,-0.23841102344499823,,,0.165080353031752,0.0,,0.25704510298989114,,,,0.11851879256915952,0.08701137698962969,,,-0.033902291229224814,,,,,,
